reaction_id,cluster_id,cluster_size
36718609,689,1
42890497,690,1
37219880,691,1
37420543,692,1
35607130,693,1
35809131,694,1
36211116,695,1
37220054,696,1
35809394,697,1
37019450,698,1
36110715,699,1
35707651,700,1
36718003,701,1
36416584,702,1
36315575,703,1
37622402,704,1
35708715,705,1
35607457,706,1
35708202,707,1
35809112,708,1
35809139,709,1
36718569,710,1
37622494,711,1
35707547,712,1
35205324,713,1
36617537,714,1
35205257,715,1
35205083,716,1
36517140,717,1
35506622,718,1
35809136,719,1
35707682,720,1
35205104,721,1
37219921,722,1
36312064,723,1
36315754,724,1
35506624,725,1
35708597,726,1
37219810,727,1
36718347,728,1
37019449,729,1
35708171,730,1
35205319,731,1
35809133,732,1
36110570,733,1
37219804,734,1
37019315,735,1
36718371,736,1
35909464,737,1
43562936,738,1
35809181,739,1
36416595,740,1
36517122,741,1
36516934,742,1
35205258,743,1
36009757,744,1
36416634,745,1
36110716,746,1
42889623,747,1
35506628,748,1
35205247,749,1
37420530,750,1
35707938,751,1
37522220,752,1
37219807,753,1
36110534,754,1
37320170,755,1
37219919,756,1
35205318,757,1
37320122,758,1
36211094,759,1
37622449,760,1
36311984,761,1
36617894,762,1
36918947,763,1
36516926,764,1
36416608,765,1
35205374,766,1
36211557,767,1
36211133,768,1
37119781,769,1
43053893,770,1
36718362,771,1
36416681,772,1
36718373,773,1
35707632,774,1
36718179,775,1
36211303,776,1
36718418,777,1
36211122,778,1
36516836,779,1
43053902,780,1
36211755,781,1
35205322,782,1
36416516,783,1
35506609,784,1
35809242,785,1
